,label,value
0,L6 IT,0
1,L6 CT,1
2,Lamp5,2
3,L5/6 NP,3
4,L6b,4
5,Sncg,5
6,L2/3 IT,6
7,Sst,7
8,L5 IT,8
9,Vip,9
10,Pvalb,10
