,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.4576251122072504,0.5346479879497066,0.39999999999999997,0.1209459358295634,0.65090850488843,0.06666666666666667
1,"(0, 2)",1.0,0.573826645610974,0.5358121977566497,0.6176470588235294,0.15340919152554375,0.5869594675886964,0.08823529411764706
2,"(0, 3)",10.0,0.0,0.5956122351872882,0.0,0.0,0.6178512374732898,0.0
3,"(0, 4)",0.01,0.30790952088695617,0.45549482827753746,0.23255813953488372,0.04464642561058447,0.5566629258908257,0.023255813953488372
4,"(0, 5)",100.0,0.27583103579645574,0.4670876993191504,0.19569892473118278,0.19313076993311717,0.6320741916855802,0.11397849462365592
5,"(0, 6)",100.0,0.10786496082243267,0.5853536191679745,0.0594059405940594,0.06045251927787519,0.6573258065241161,0.031683168316831684
6,"(0, 7)",100.0,0.0,0.5128918170035607,0.0,0.0,0.5713296755367985,0.0
7,"(0, 8)",100.0,0.261254137500322,0.6040904833473717,0.16666666666666666,0.4454807533529202,0.6713519058527886,0.3333333333333333
8,"(0, 9)",100.0,0.0,0.4837719689354408,0.0,0.0,0.5558370570799117,0.0
9,"(0, 10)",0.1,0.16947176481637014,0.6244630032283098,0.09803921568627451,0.18659123657363763,0.6916156762029687,0.10784313725490197
10,"(1, 2)",100.0,0.2899236938359264,0.6333360809258376,0.18799019607843137,0.2614968834564259,0.6034692429917482,0.16691176470588237
11,"(1, 3)",100.0,0.26818675276207904,0.7416202524952354,0.1636904761904762,0.12953993037866207,0.7566541277528185,0.07083333333333333
12,"(1, 4)",10.0,0.36433736739377,0.6345662420507696,0.2555232558139535,0.3346246349238965,0.6838024968504849,0.22151162790697673
13,"(1, 5)",0.1,0.18750551451004344,0.7381635045929533,0.10739247311827957,0.32516621069601853,0.7369815100885133,0.20860215053763442
14,"(1, 6)",0.01,0.21005751706951686,0.7267228154033447,0.12277227722772277,0.2964047700677999,0.7569627184918004,0.18428217821782178
15,"(1, 7)",1.0,0.0,0.6579412734836978,0.0,0.11399034742241104,0.64710458969459,0.0625
