,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.8140566800092417,0.9213169416857345,0.7291666666666666,0.892527225336863,0.9033670642480163,0.8819444444444444
1,"(0, 2)",0.01,0.436534018201557,0.9512163383683032,0.2832653457653458,0.5773113766152829,0.9295848965389316,0.41865773115773114
2,"(0, 3)",0.01,0.6023655577122848,0.9508885872682183,0.4408014571948998,0.8441011384591421,0.9261781753832794,0.7753870673952641
3,"(0, 4)",100.0,0.6991372429760766,0.9345314536306935,0.5584677419354839,0.5532471374978968,0.8908220504580134,0.4012096774193548
4,"(0, 5)",100.0,0.6383661851587555,0.9342167591398969,0.4848290598290599,0.8052822340978381,0.9104390508423106,0.7219017094017095
5,"(0, 6)",10.0,0.7423391537409453,0.9449254442502019,0.6112836438923396,0.8708361116423561,0.9258004445143619,0.822032436162871
6,"(0, 7)",100.0,0.7433930772086819,0.934910428960367,0.617,0.8036954448204857,0.9059752331360192,0.7221666666666666
7,"(0, 8)",10.0,0.8564953800425241,0.9377566153133952,0.7881944444444444,0.8615985094511607,0.9353724343285427,0.7986111111111112
8,"(0, 9)",1.0,0.7490983775600228,0.9295577831703279,0.6273148148148149,0.8628202128404667,0.9139230950627106,0.8171296296296295
9,"(0, 10)",1.0,0.7623685295729619,0.9234656519679718,0.6491290018832392,0.6958630894539531,0.8944295589306791,0.5694444444444444
10,"(1, 2)",0.01,0.0,0.9196711394456926,0.0,0.013880619080998908,0.9209863255420504,0.006993006993006993
11,"(1, 3)",0.01,0.8960455392539881,0.907111933506303,0.8852459016393442,0.8902116010196605,0.912647360237382,0.8688524590163935
12,"(1, 4)",100.0,0.010687152975401433,0.8767473760695845,0.005376344086021506,0.010686470487874383,0.8676555685882285,0.005376344086021506
13,"(1, 5)",0.01,0.0,0.892165325399876,0.0,0.11516350592595315,0.8955657012457654,0.06153846153846154
14,"(1, 6)",10.0,0.5103646180034682,0.9139050690216212,0.35403726708074534,0.5247161596351901,0.9090862901818952,0.3687888198757764
15,"(1, 7)",100.0,0.671490564579505,0.898652842564709,0.536,0.22953016285280947,0.8789708337522653,0.132
16,"(1, 8)",100.0,0.5902573054490167,0.9103782220528728,0.43669871794871795,0.06041469651355845,0.9053642687139016,0.03125
17,"(1, 9)",100.0,0.0,0.9015928844243446,0.0,0.0,0.892333228959876,0.0
18,"(1, 10)",0.1,0.6450416601986574,0.9017020770727626,0.5021186440677966,0.0,0.894868259418334,0.0
19,"(2, 3)",0.01,0.4583425051096793,0.9389628197630577,0.3031640490656884,0.21086330211083917,0.9319203410414718,0.11888111888111888
20,"(2, 4)",0.1,0.08808010307137297,0.9240320701379563,0.046244078502143016,0.2762159782716957,0.9131194529553809,0.16271900142867884
21,"(2, 5)",0.01,0.2294110947722691,0.9337806179890712,0.13076923076923078,0.24045000787733123,0.9283060219669799,0.1381118881118881
22,"(2, 6)",10.0,0.5612108386627064,0.9409531451940683,0.3998447204968944,0.7116213173109573,0.933768431639368,0.5748599226860096
23,"(2, 7)",0.01,0.255518823870517,0.9341819963895274,0.148,0.26947651162636094,0.9237169949144592,0.15774825174825174
24,"(2, 8)",1.0,0.3355797891371455,0.9267350597839469,0.20488539238539238,0.2574032897605802,0.9326322023339864,0.14930555555555555
25,"(2, 9)",0.1,0.5293536424870284,0.92747810175961,0.37037037037037035,0.0034898585054498154,0.9181579303894153,0.0017482517482517483
26,"(2, 10)",100.0,0.5002289621798547,0.930671961888703,0.34203508356050727,0.638971491401764,0.9260003843248081,0.4877770534550196
27,"(3, 4)",100.0,0.6276717628693804,0.913283519030469,0.4781420765027322,0.8173836859034926,0.9127131688224376,0.7400846113167636
28,"(3, 5)",0.01,0.35274815524036196,0.9097838019091957,0.21878940731399749,0.4568909434022925,0.9142703920224133,0.3045397225725095
29,"(3, 6)",10.0,0.577423885655998,0.9272353991219795,0.4192546583850932,0.8563878021263277,0.932662834041851,0.7916454536197943
30,"(3, 7)",100.0,0.19442823615779856,0.9138368512143944,0.10878688524590163,0.2845778414099949,0.9178686083555433,0.1683934426229508
31,"(3, 8)",1.0,0.1869889634366155,0.9125599452641896,0.10416666666666667,0.07336710244726398,0.927337445119066,0.03819444444444445
32,"(3, 9)",0.01,0.3645889327670602,0.921804748780466,0.2272313296903461,0.41502465472372746,0.9258763859735721,0.26745598057073466
33,"(3, 10)",100.0,0.12024360970297453,0.9275875878864037,0.06428869130313976,0.11136242726674249,0.9072468845746857,0.059322033898305086
34,"(4, 5)",10.0,0.15219352495041608,0.9096442511191878,0.08304383788254757,0.03168146470950221,0.8862149456338764,0.016129032258064516
35,"(4, 6)",1.0,0.5569709855159347,0.9094585084879456,0.40139751552795033,0.843726768963953,0.9123166533280455,0.7847291791892073
36,"(4, 7)",0.01,0.16069524938953253,0.8964515253472665,0.08825806451612903,0.4753964185986535,0.8923826398932542,0.324
37,"(4, 8)",0.01,0.3940094305151268,0.9201794932565893,0.2506720430107527,0.8947526915248144,0.9121310073187138,0.8780241935483871
38,"(4, 9)",0.01,0.5635802567113194,0.9050226397379996,0.4091995221027479,0.33987528036249565,0.8966352250929085,0.20967741935483872
