,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.6176353358762201,0.8425489603957228,0.4875,0.6173783432208338,0.8415931658915412,0.4875
1,"(0, 2)",10.0,0.6210921162501144,0.8473612171357642,0.49019607843137253,0.6218150587269897,0.8500579230582764,0.49019607843137253
2,"(0, 3)",10.0,0.5854913396431454,0.8295945783164937,0.45238095238095233,0.47834177184318943,0.8466605407135257,0.3333333333333333
3,"(0, 4)",100.0,0.5909513670442796,0.8399862334442677,0.4558139534883721,0.435734829483216,0.8494378918852351,0.2930232558139535
4,"(0, 5)",1.0,0.5998538884060199,0.8429291989349311,0.46559139784946235,0.5418031750029735,0.8441391131594362,0.3989247311827957
5,"(0, 6)",0.1,0.6041106478723813,0.8475652923445792,0.4693069306930693,0.6081061579095213,0.8472135596745697,0.47425742574257423
6,"(0, 7)",100.0,0.5548428407515521,0.8619353061236102,0.4090909090909091,0.0,0.8668013517871143,0.0
7,"(0, 8)",100.0,0.6137369954575725,0.8431720410310682,0.4824561403508772,0.7343469575641116,0.8453316087007635,0.6491228070175439
8,"(0, 9)",10.0,0.0,0.951380162970844,0.0,0.0,0.9504445559099141,0.0
9,"(0, 10)",0.1,0.0,0.8404970585313678,0.0,0.0,0.8353004751249473,0.0
10,"(1, 2)",0.01,0.8916195824888046,0.8411521686986172,0.9485294117647058,0.9075381744644939,0.8436741380895606,0.9818627450980392
11,"(1, 3)",100.0,0.7860525923210131,0.8566705854708128,0.7261904761904762,0.6212060509659852,0.8559726662165217,0.4875
12,"(1, 4)",0.1,0.8276865872484938,0.838293266011292,0.8173449612403101,0.8098956470878574,0.8415651464658054,0.7805232558139534
13,"(1, 5)",100.0,0.8697367740528779,0.8391063438034865,0.9026881720430108,0.8278079811757767,0.8405388656766448,0.8154569892473118
14,"(1, 6)",1.0,0.2486247458757816,0.8382769835481311,0.14595709570957097,0.37574446064963113,0.8375224089395668,0.24220297029702972
15,"(1, 7)",100.0,0.6175407598949108,0.8549294915096048,0.48333333333333334,0.8746438299004494,0.8537455353898559,0.8965909090909091
16,"(1, 8)",0.01,0.00829244142156706,0.8449553411446767,0.004166666666666667,0.008292467254836141,0.8454921090000069,0.004166666666666667
17,"(1, 9)",10.0,0.6404744247215093,0.9655038347653859,0.4791666666666667,0.6476784244166104,0.9646270073714027,0.4875
18,"(1, 10)",1.0,0.5919885372157335,0.8356832658117663,0.4583333333333333,0.644083634944684,0.8287549255395638,0.5267156862745098
19,"(2, 3)",0.01,0.6891467850921057,0.8578109525854996,0.5759103641456582,0.6153267482773391,0.8556713569055014,0.4803921568627451
20,"(2, 4)",0.1,0.7876762053240974,0.8371997442975716,0.7436844505243958,0.4501621155355405,0.843690959968339,0.30697674418604654
21,"(2, 5)",1.0,0.8043622789038376,0.8487462382071977,0.7643896268184693,0.4100924779042982,0.8428344902159389,0.2709677419354839
22,"(2, 6)",10.0,0.7509197374338165,0.8386738089449565,0.6797903319743739,0.37053097366293175,0.8408122987494804,0.2376237623762376
23,"(2, 7)",1.0,0.8794608234746089,0.8604899986855982,0.8992869875222816,0.6247729714411572,0.8612056746806203,0.49019607843137253
24,"(2, 8)",0.1,0.6268729060341028,0.8046990060525003,0.5134158926728586,0.23628848805399805,0.8485252934431442,0.13725490196078433
25,"(2, 9)",100.0,0.8561076287714497,0.9723251420996891,0.7647058823529411,0.6596075313297629,0.9688926636751953,0.5
26,"(2, 10)",0.01,0.6034797877034183,0.8409632155844569,0.47058823529411764,0.6091954591120698,0.832372007001233,0.4803921568627451
27,"(3, 4)",1.0,0.49118984166545165,0.8573828959013615,0.34418604651162793,0.5581679120723279,0.8565891432180602,0.413953488372093
28,"(3, 5)",100.0,0.5326409515499139,0.8573348123086002,0.3863287250384025,0.40368231236823854,0.8599234820282854,0.26374807987711213
29,"(3, 6)",100.0,0.45263765286970425,0.8617117696489512,0.3069306930693069,0.5467199441423568,0.858846143111598,0.400990099009901
30,"(3, 7)",0.01,0.34408546644871996,0.8727201312592842,0.21428571428571427,0.5857802836301806,0.8649135508076374,0.44285714285714284
31,"(3, 8)",100.0,0.6179491053095756,0.8592650789062843,0.4824561403508772,0.6249180070085991,0.8585860862758385,0.49122807017543857
32,"(3, 9)",1.0,0.0,0.9860195087352321,0.0,0.0,0.983601910871714,0.0
33,"(3, 10)",0.1,0.0,0.8551354794720907,0.0,0.0,0.8479968892689844,0.0
34,"(4, 5)",0.1,0.7786078097510826,0.8393598990593443,0.7260565141285321,0.8942045231479863,0.8377712878172676,0.9587896974243562
35,"(4, 6)",100.0,0.0019778574451982975,0.8366640803223245,0.0009900990099009901,0.0019778587797781356,0.8371419775744154,0.0009900990099009901
36,"(4, 7)",100.0,0.6020013644553659,0.8559186038138894,0.4642706131078224,0.4047200481246843,0.8548779178351081,0.2651162790697674
37,"(4, 8)",100.0,0.5287112518818611,0.8498180212437075,0.38372093023255816,0.42258036636386176,0.8480983426344804,0.2813953488372093
38,"(4, 9)",100.0,0.22958395991605138,0.9682055314313823,0.13023255813953488,0.4274165270379108,0.9659890289462193,0.2744186046511628
39,"(4, 10)",1.0,0.8167067672771885,0.8321524811548178,0.8018239854081167,0.8989267130317173,0.8394743459879082,0.9674418604651163
40,"(5, 6)",1.0,0.23753306050804263,0.8426684292153368,0.13825188970509955,0.004120643971346603,0.8433326334255127,0.002065367827105291
41,"(5, 7)",0.01,0.5827021518782923,0.8550578409139818,0.44193548387096776,0.38502420395931697,0.855794658781815,0.24838709677419354
42,"(5, 8)",10.0,0.51689741391126,0.85119373281866,0.37113752122241084,0.4094670447747435,0.8480191296440568,0.2698924731182796
43,"(5, 9)",10.0,0.43798022948387827,0.970596278511243,0.28279569892473116,0.40068689655539014,0.9671351013916075,0.25268817204301075
44,"(5, 10)",1.0,0.8219448981237885,0.8374312953462597,0.8070208728652751,0.4944416557173536,0.8380578617622999,0.35066413662239093
45,"(6, 7)",100.0,0.5538199306915561,0.8534836781213584,0.4099009900990099,0.47358940086366763,0.8534549794262168,0.32772277227722774
46,"(6, 8)",10.0,0.6115680484666123,0.8453800907785728,0.4790689595275317,0.9033272140180326,0.8360952298808086,0.9823171790863297
47,"(6, 9)",10.0,0.4164159813156039,0.9669001858430603,0.26534653465346536,0.4579302940930586,0.966983688400846,0.3
48,"(6, 10)",10.0,0.8942226501796584,0.8328599838733758,0.9653465346534653,0.9075963151215363,0.8356705570877148,0.9930693069306931
49,"(7, 8)",10.0,0.7933213934437311,0.8517107165389031,0.7424242424242424,0.6232207184819573,0.8522085857806909,0.49122807017543857
50,"(7, 9)",10.0,0.1661608153323804,0.9647553872024501,0.09090909090909091,0.6578490011737028,0.961343096221208,0.5
51,"(7, 10)",1.0,0.0,0.8541301580128643,0.0,0.0,0.8502788683930738,0.0
52,"(8, 9)",0.1,0.0,0.9742275125478636,0.0,0.5513930152020645,0.9650015222533388,0.38596491228070173
53,"(8, 10)",0.01,0.4726140462218748,0.8407624278369847,0.3286893704850361,0.6318426055293841,0.8279725505389632,0.5108359133126935
54,"(9, 10)",10.0,0.0,0.9652412691239756,0.0,0.0,0.9566123318103235,0.0
