,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.7214377098302316,0.9618841687770993,0.5771619684663163,0.9783358048987686,0.9575903800777028,1.0
1,"(0, 2)",100.0,0.5562469708875009,0.9729892813975022,0.3894437916177047,0.6576655041690733,0.9605597919262622,0.5
2,"(0, 3)",100.0,0.9591599868474087,0.9618128282775115,0.9565217391304348,0.9765795257884334,0.9542309836441185,1.0
3,"(0, 4)",0.01,0.6625260480256122,0.9491062490224356,0.5088731144631766,0.9768953692122764,0.9548342758063083,1.0
4,"(0, 5)",1.0,0.9285115057264568,0.9798974723608114,0.8822463768115942,0.9778888990329256,0.9567344470749727,1.0
5,"(0, 6)",100.0,0.5381927092826876,0.9618175266798276,0.37363025804171085,0.5026325305810703,0.9648166803839805,0.33983739837398375
6,"(0, 7)",1.0,0.6607181771187258,0.9549012321545894,0.50510650714911,0.35367161767698874,0.9342757002131188,0.2181208053691275
7,"(0, 8)",100.0,0.3347200755905705,0.9751324013957233,0.20203488372093023,0.49320943488560226,0.9713914981349431,0.33051061678463095
8,"(0, 9)",100.0,0.653065090601424,0.9602658739288725,0.4947791852105443,0.9689339033330031,0.9616025041083842,0.9763779527559056
9,"(0, 10)",0.01,0.7511664794604791,0.957298425199639,0.6180778032036613,0.9714647420251054,0.9615568447508672,0.9815789473684211
10,"(1, 2)",100.0,0.6556230358137087,0.9796298981912669,0.49267399267399264,0.9400040824020681,0.9721570023784345,0.9099099099099099
11,"(1, 3)",0.01,0.6443305472414098,0.9666425631534499,0.4832112332112332,0.9763016808153508,0.9587523073089476,0.9945054945054945
12,"(1, 4)",0.1,0.8128107055189707,0.9686671145135334,0.7001569858712715,0.9777681866358447,0.9615849246868494,0.9945054945054945
13,"(1, 5)",10.0,0.8227461746805367,0.9865612023208864,0.7055860805860805,0.9805526177604026,0.9618472074608226,1.0
14,"(1, 6)",0.01,0.5426095197139118,0.9769274167897177,0.3756186902528366,0.9294824666296093,0.9701745551567975,0.8920664701152506
15,"(1, 7)",1.0,0.7340440488980686,0.9704043058277819,0.5902721439634191,0.9768355198786174,0.9597824896706404,0.9945054945054945
16,"(1, 8)",100.0,0.4786865012777188,0.9717031532156797,0.31756325070278557,0.9019647100644562,0.9716982769706252,0.8415697674418605
17,"(1, 9)",100.0,0.6549939239671837,0.9765994196441539,0.49273167777104787,0.9682285601881069,0.9655881531309021,0.9708834472614001
18,"(1, 10)",100.0,0.6576276396605123,0.9738000222966785,0.496443030653557,0.9751130198584751,0.9661821578276835,0.9842105263157894
19,"(2, 3)",100.0,0.8755345111044038,0.9719122712875935,0.7965465465465466,0.9413309215970314,0.9749996110349807,0.9099099099099099
20,"(2, 4)",100.0,0.5577535658481585,0.9766842298598924,0.3903291046148189,0.9399753539785424,0.972095549681442,0.9099099099099099
21,"(2, 5)",100.0,0.3425108574666966,0.9870265286795763,0.2072072072072072,0.4751048292015422,0.9738979874112547,0.3141891891891892
22,"(2, 6)",100.0,0.4542467143134919,0.9845185375240357,0.2952318171830367,0.5613502720047922,0.9690169812561362,0.3951219512195122
23,"(2, 7)",100.0,0.3203017968285784,0.9810230266215396,0.19139609408065783,0.9394989982668621,0.9710771663510234,0.9099099099099099
24,"(2, 8)",100.0,0.41909864510059935,0.9818392735880206,0.2664073957678609,0.845682658937005,0.9863088545157139,0.7401529436413157
25,"(2, 9)",100.0,0.11848906463262879,0.9870417550439482,0.06302759452365751,0.10434942904089003,0.9770251587539543,0.05511811023622047
26,"(2, 10)",0.01,0.5375796867901299,0.9839041339160803,0.3698198198198198,0.9339294366525983,0.9774484576845873,0.8941204362256994
27,"(3, 4)",0.01,0.8667429158461142,0.9664057805448825,0.7857142857142857,0.9793558756917602,0.9595468708111523,1.0
28,"(3, 5)",0.01,0.8852360085513086,0.9824097591328825,0.8055555555555556,0.9803102613502105,0.9613809222482489,1.0
