,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.6443337181788252,0.9442533846646527,0.489010989010989,0.6397688313453394,0.9452266284711727,0.4835164835164835
1,"(0, 2)",0.1,0.5484239273238254,0.9605713135730161,0.3837641989815903,0.388001765413244,0.9583091343989546,0.24324324324324326
2,"(0, 3)",0.1,0.0,0.9460393638063864,0.0,0.0,0.9234932567399226,0.0
3,"(0, 4)",100.0,0.6535178119454353,0.9430756247742789,0.5,0.6450026998055661,0.9442018727810737,0.4897959183673469
4,"(0, 5)",100.0,0.6329759498722943,0.9685135468272017,0.4701086956521739,0.8718103775737656,0.9700083602256289,0.7916666666666667
5,"(0, 6)",10.0,0.5467258336576704,0.9516854203449377,0.3835277483209615,0.35126170309418187,0.9664921410299194,0.2146341463414634
6,"(0, 7)",0.01,0.07728068820899889,0.9557000695285571,0.040268456375838924,0.6524597181599858,0.9507422144575473,0.4966442953020134
7,"(0, 8)",1.0,0.002902642621918736,0.9734283066080849,0.0014534883720930232,0.4805754059466429,0.9667392616803756,0.31976744186046513
8,"(0, 9)",10.0,0.6157184580016738,0.9446593275311412,0.4566929133858268,0.6094234118420722,0.949018368338009,0.44881889763779526
9,"(0, 10)",1.0,0.03613720504737849,0.9443682116054902,0.018421052631578946,0.6071836777455121,0.9565940884693203,0.44473684210526315
10,"(1, 2)",10.0,0.799559226961242,0.972696294655132,0.6787446787446787,0.8351535096692183,0.9815481310475103,0.7267597267597268
11,"(1, 3)",0.01,0.11378793787659276,0.969837183179929,0.06043956043956044,0.032409078922944194,0.9574544575878117,0.016483516483516484
12,"(1, 4)",0.1,0.5109502227311236,0.9752417984464083,0.34615384615384615,0.03241315814258268,0.9646273904150673,0.016483516483516484
13,"(1, 5)",1.0,0.6954419257035553,0.9831432472215919,0.538003663003663,0.8503743302666119,0.9744114603300658,0.7543498168498168
14,"(1, 6)",0.01,0.8300613126964411,0.9657362378407934,0.7278120253730009,0.9103353461226881,0.9680361396669412,0.8591262396140444
15,"(1, 7)",1.0,0.6533052759337317,0.962340037580208,0.4945054945054945,0.9728369628200149,0.9689009606911956,0.9768050741205103
16,"(1, 8)",100.0,0.06377730711637968,0.97486495430669,0.03296703296703297,0.01092722331066953,0.9717097345584224,0.005494505494505495
17,"(1, 9)",0.1,0.9593087703104045,0.9667095753506957,0.9520204205243575,0.95370610284107,0.9760795148971702,0.9323353811542787
18,"(1, 10)",0.01,0.04623176167544952,0.963316538362064,0.02368421052631579,0.7834861381514331,0.9698490179550954,0.6572006940427993
19,"(2, 3)",100.0,0.017851427245074516,0.9653816116759971,0.009009009009009009,0.33521636165674196,0.9680893038136329,0.20270270270270271
20,"(2, 4)",10.0,0.5887174429229234,0.9657046090920178,0.42342342342342343,0.9415375789374681,0.9754431249425042,0.9099099099099099
21,"(2, 5)",0.1,0.04079876014835849,0.9793383870584756,0.020833333333333332,0.8120660908359307,0.9814011816361597,0.6925675675675675
22,"(2, 6)",10.0,0.6892549312329169,0.960807731150235,0.5373764007910349,0.7745670895697812,0.9827250891447044,0.6391782025928368
23,"(2, 7)",100.0,0.02871694517863177,0.9816096818514358,0.014571618598464234,0.9447755781901903,0.9810839729453549,0.9110587097164278
24,"(2, 8)",1.0,0.03200881846361364,0.957555552121165,0.016276450869474126,0.8179932052333554,0.9816799669444894,0.7010920804525456
25,"(2, 9)",0.01,0.6668024974034789,0.9583045579537802,0.511278995530964,0.6737370934806952,0.9729039655219611,0.5152869404837909
26,"(2, 10)",1.0,0.06105495326955212,0.9586907002774786,0.03153153153153153,0.7702989566591882,0.9737434380975485,0.6371740161213846
27,"(3, 4)",10.0,0.6515949850132875,0.9730232543793405,0.4897959183673469,0.978271317677296,0.9574668251980398,1.0
28,"(3, 5)",10.0,0.2851449971866028,0.9862172051979348,0.16666666666666666,0.8603595555339411,0.9734139174839993,0.7708333333333333
29,"(3, 6)",0.1,0.6147352723423847,0.9641186384991054,0.45121951219512196,0.43092791562349547,0.9670157368411528,0.27723577235772356
30,"(3, 7)",0.01,0.6154597805720166,0.9595127134542657,0.45302013422818793,0.6748017421765479,0.9491474547478975,0.5234899328859061
31,"(3, 8)",0.01,0.0,0.965154404922925,0.0,0.43476691466280415,0.9658110522406967,0.2805232558139535
32,"(3, 9)",0.1,0.24051471955595685,0.944861191574378,0.1377952755905512,0.519564015617233,0.9450255061142764,0.35826771653543305
33,"(3, 10)",0.1,0.513940868228903,0.9667856781220289,0.35,0.9560235438726135,0.9731669473300811,0.9394736842105262
34,"(4, 5)",0.01,0.3973626947911929,0.9678807670924127,0.25,0.8586872323219502,0.9691430053330475,0.7708333333333333
35,"(4, 6)",100.0,0.4116136988647225,0.9735685142717061,0.26097560975609757,0.40410761565781345,0.9690117236990036,0.2552845528455285
36,"(4, 7)",100.0,0.6404639841555447,0.962630668102224,0.4798657718120805,0.9800573158196112,0.9640134066020073,0.9966442953020134
37,"(4, 8)",0.01,0.059179568259323856,0.9675457388456064,0.030523255813953487,0.20289954180592515,0.9647091185719271,0.11337209302325581
38,"(4, 9)",10.0,0.09722799565497363,0.9692312741436544,0.051181102362204724,0.5866838363917337,0.9660348298866513,0.421259842519685
39,"(4, 10)",10.0,0.04120940492907002,0.9684193231082234,0.021052631578947368,0.9544090410024816,0.9698269410830983,0.9394736842105262
40,"(5, 6)",100.0,0.5888157874360944,0.98836529695629,0.4193089430894309,0.7992438055832326,0.9780491053885684,0.6757113821138212
