,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",100.0,0.6431329385279384,0.9776887067931299,0.4791666666666667,0.6597688342647247,0.9695890628345212,0.5
1,"(0, 2)",10.0,0.2706008688826309,0.984291428562824,0.1568627450980392,0.6599393327952869,0.9703258807023545,0.5
2,"(0, 3)",10.0,0.10800729836743135,0.9830259258586965,0.05714285714285714,0.5827907598082658,0.9823469332282507,0.4142857142857143
3,"(0, 4)",100.0,0.5351107266395679,0.9679214400422127,0.3697674418604651,0.6453112867973992,0.9690187813752674,0.48372093023255813
4,"(0, 5)",0.01,0.45207049985220565,0.9709415277915957,0.2946236559139785,0.6563569108420398,0.9710915217825915,0.4956989247311828
5,"(0, 6)",100.0,0.050163704347709406,0.9772209195877612,0.02574257425742574,0.655264176392387,0.9726150553594063,0.49405940594059405
6,"(0, 7)",10.0,0.16644188738299717,0.9840524799367787,0.09090909090909091,0.6215755346295422,0.9826755680520418,0.45454545454545453
7,"(0, 8)",100.0,0.0,0.9820488985454112,0.0,0.0,0.9811120306650748,0.0
8,"(0, 9)",100.0,0.0,0.9713327765938955,0.0,0.660458618342755,0.9725745579510318,0.5
9,"(0, 10)",10.0,0.5598681157284235,0.9782152747300594,0.39215686274509803,0.6590545791925323,0.9665103840252206,0.5
10,"(1, 2)",0.1,0.8557816679862063,0.9852751797261374,0.7563725490196078,0.9863068751389898,0.9729836880113246,1.0
11,"(1, 3)",0.01,0.6940215731938192,0.9831295890132091,0.5363095238095238,0.9403358321243801,0.9844568152739256,0.9
12,"(1, 4)",100.0,0.8053033177027322,0.9910410719299758,0.6781976744186047,0.982737391708382,0.9704415311771294,0.9953488372093023
13,"(1, 5)",100.0,0.6792910460982011,0.9753846686726827,0.5211021505376344,0.9850749297849538,0.9746752550174875,0.9956989247311828
14,"(1, 6)",1.0,0.6480035118974151,0.9747734531459875,0.4853135313531353,0.983568132678008,0.9742470401529904,0.9930693069306931
15,"(1, 7)",100.0,0.6920205652537436,0.9864317316332483,0.5329545454545455,0.9674484001865707,0.9807049534965068,0.9545454545454546
16,"(1, 8)",0.1,0.5742578568482527,0.9837116423391704,0.40548245614035083,0.9785692449075513,0.9747129837479158,0.9824561403508771
17,"(1, 9)",100.0,0.6498304230639479,0.9742373017447908,0.4875,0.985938435269329,0.9722668421331883,1.0
18,"(1, 10)",100.0,0.6969051761045261,0.9752802939088306,0.542156862745098,0.9850869091666864,0.9706120830088637,1.0
19,"(2, 3)",0.1,0.5184072836582834,0.995764555825425,0.35042016806722687,0.9550223009516092,0.9830242934007671,0.9285714285714286
20,"(2, 4)",100.0,0.5612258793457162,0.9816834618218068,0.3929320565435477,0.9842378401431404,0.9711583770552655,0.9976744186046511
21,"(2, 5)",0.1,0.4455397149641443,0.9822926418946027,0.2881087919038583,0.9896278278682261,0.9836303171903715,0.9956989247311828
22,"(2, 6)",0.01,0.6342120810996348,0.9804948260874742,0.4686856920986216,0.9887241327066774,0.9844168174457985,0.9930693069306931
23,"(2, 7)",1.0,0.5958555700570475,0.981336847390421,0.42780748663101603,0.968299423166675,0.9824555460498416,0.9545454545454546
24,"(2, 8)",10.0,0.28073081041271314,0.9894153494762187,0.16357069143446853,0.9805365291758209,0.9786244047903523,0.9824561403508771
25,"(2, 9)",10.0,0.5385281090689333,0.971235837289411,0.37254901960784315,0.9846836622708932,0.9698294272239055,1.0
26,"(2, 10)",0.1,0.5699594588608837,0.9792241630037029,0.4019607843137255,0.9864981505845732,0.9733560438528761,1.0
27,"(3, 4)",0.1,0.1618111723832231,0.9575824612821814,0.08837209302325581,0.9472306570097185,0.9853391521947894,0.9119601328903655
28,"(3, 5)",1.0,0.14153346788276897,0.9941016570877333,0.0761904761904762,0.9461101148117554,0.9852224563541626,0.9099846390168971
29,"(3, 6)",10.0,0.2281540910121483,0.994725070156428,0.12885431400282885,0.983128211508037,0.9865057804855254,0.9797736916548798
30,"(3, 7)",10.0,0.213299527408995,0.9931269359597066,0.11948051948051948,0.7677133207214087,0.9924290167054157,0.625974025974026
31,"(3, 8)",1.0,0.4710725365724137,0.9828248304803415,0.30977443609022554,0.9650599821459516,0.9823469332282507,0.9483709273182956
32,"(3, 9)",100.0,0.13318002387391076,0.9830259258586965,0.07142857142857142,0.9843913290170355,0.983071918719754,0.9857142857142858
33,"(3, 10)",0.1,0.2101133145186802,0.9816689859636567,0.11764705882352941,0.7050515410433308,0.9760960819468676,0.5518207282913166
34,"(4, 5)",0.01,0.3454941139595211,0.9885294920469492,0.20932733183295824,0.9818834000124659,0.9716850695094572,0.9922980745186296
35,"(4, 6)",100.0,0.4593673092634451,0.9898873527905787,0.29907897766520836,0.9821317537318622,0.9755883477020997,0.9887635275155422
36,"(4, 7)",100.0,0.5026953658361404,0.9853250202940901,0.33742071881606767,0.9648968222794927,0.9779158633668317,0.9522198731501057
37,"(4, 8)",100.0,0.2175413360623747,0.956586507345051,0.12272541819665443,0.9480326936806888,0.9819256003941407,0.9164014687882497
38,"(4, 9)",10.0,0.22608742365374387,0.972806412329562,0.12790697674418605,0.1503258479782566,0.9816263439748454,0.08139534883720931
39,"(4, 10)",0.01,0.6432472330618154,0.9837993147281419,0.4778385772913817,0.9834420905074541,0.9696101138531673,0.9976744186046511
40,"(5, 6)",1.0,0.19772240788176998,0.9875907468930725,0.10985840519535825,0.9812143176417034,0.9778988668523552,0.9845523262003619
41,"(5, 7)",100.0,0.20525249033906504,0.9848071790626053,0.11456500488758553,0.9657796395159127,0.9841378035595234,0.9480938416422287
42,"(5, 8)",0.01,0.2672131618284651,0.9926656591462025,0.15438596491228068,0.9785140257647345,0.9788732500049563,0.9781550650820601
43,"(5, 9)",100.0,0.1057596871708218,0.9744861469593948,0.05591397849462366,0.9821191441794953,0.9730125112237283,0.9913978494623656
44,"(5, 10)",1.0,0.4830945927753194,0.9883760219875808,0.3196710942441493,0.021270768648317298,0.9748953106827847,0.010752688172043012
45,"(6, 7)",100.0,0.29019994803708177,0.9836694292620776,0.17020702070207022,0.9662988105321444,0.9846653831992079,0.9486048604860486
46,"(6, 8)",1.0,0.28103248661017327,0.9929542901598415,0.16367899947889525,0.9792942215061264,0.9830922286848769,0.9755254472815702
47,"(6, 9)",1.0,0.0632271472301746,0.9747332937130386,0.032673267326732675,0.9837029497584391,0.9735600628531098,0.994059405940594
48,"(6, 10)",1.0,0.17256109627237898,0.9849623120065731,0.0945641622985828,0.007888766356134898,0.9755482792054436,0.0039603960396039604
49,"(7, 8)",100.0,0.27692783017019545,0.9860207242994152,0.16108452950558214,0.9602321210013302,0.9846438124146784,0.9370015948963317
50,"(7, 9)",100.0,0.0,0.9731403071255696,0.0,0.6611819943997351,0.9757185029590683,0.5
51,"(7, 10)",100.0,0.5049897418694934,0.9846448577805302,0.339572192513369,0.9671789703136947,0.9801513834121324,0.9545454545454546
52,"(8, 9)",0.01,0.0839557229136478,0.9783963981187173,0.043859649122807015,0.970890241156804,0.9769427343727478,0.9649122807017544
53,"(8, 10)",1.0,0.5095298493699818,0.9765725029259973,0.3446852425180599,0.9761551701987231,0.9699345073827926,0.9824561403508771
54,"(9, 10)",1.0,0.29878233492519507,0.9735491545617962,0.17647058823529413,0.9846396191833856,0.9697439823203253,1.0
