,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",10.0,0.6051592760185536,0.9455226424806147,0.4449786324786325,0.8408101054347773,0.9309870825763856,0.766559829059829
1,"(0, 2)",1.0,0.6754252061230435,0.9626792671765266,0.5202020202020202,0.83849930517367,0.9637906874693315,0.742035742035742
2,"(0, 3)",1.0,0.5993390063782023,0.957729968374686,0.43613387978142076,0.8786180148755441,0.9435297018526312,0.8220628415300546
3,"(0, 4)",0.01,0.8078054542855907,0.9293405716362637,0.7143817204301075,0.8971463928435418,0.9326493154060373,0.864247311827957
4,"(0, 5)",0.1,0.6339474770224637,0.9468076076550427,0.47649572649572647,0.6189008616177339,0.937758837261885,0.4618589743589744
5,"(0, 6)",0.1,0.6158088919021322,0.9529329423662648,0.45488267770876467,0.9036373879632958,0.9396825797551074,0.8702553485162181
6,"(0, 7)",10.0,0.5371113712489008,0.9461133053462719,0.375,0.7665360938867839,0.9323859999600015,0.6507777777777778
7,"(0, 8)",100.0,0.23168340077358088,0.9491965311197816,0.13194444444444445,0.8534209816323148,0.9402832753888054,0.78125
8,"(0, 9)",10.0,0.5801020130001401,0.9425700202075196,0.4189814814814815,0.9035917701951147,0.9341152071536271,0.875
9,"(0, 10)",0.01,0.7339976949027345,0.9383035125276865,0.6027542372881356,0.8523487286656297,0.9427353016540587,0.7777777777777778
10,"(1, 2)",0.1,0.4520554278997268,0.9438144047198451,0.2972027972027972,0.5458029096008441,0.9292893631423191,0.38636363636363635
11,"(1, 3)",10.0,0.376010982259623,0.9372221829640868,0.2351828499369483,0.5670221068932534,0.919794526315139,0.4098360655737705
12,"(1, 4)",0.01,0.6616992985958314,0.9112765433291021,0.5194375516956162,0.6209217758288861,0.9030313327227238,0.4731182795698925
13,"(1, 5)",1.0,0.3882368889999226,0.9182787141895733,0.24615384615384617,0.9112110964904154,0.9147572735593515,0.9076923076923077
14,"(1, 6)",100.0,0.5534049494878824,0.9245351101301126,0.3948877209746775,0.9097261965513634,0.9190794518825991,0.9005613951266125
15,"(1, 7)",0.01,0.20513304926078937,0.9232731475175354,0.11538461538461539,0.14179750852278913,0.9052885501117169,0.07692307692307693
16,"(1, 8)",0.01,0.6766046904482341,0.9186076093032012,0.5355235042735043,0.9146833384291428,0.9202454759371389,0.9091880341880342
17,"(1, 9)",0.01,0.37774224749749835,0.921896421566012,0.23753561253561253,0.2699684433575509,0.9106133713994828,0.15847578347578348
18,"(1, 10)",1.0,0.5541986454289988,0.9381552651413778,0.39325293350717083,0.859938060021316,0.9213182955479454,0.8062255541069101
19,"(2, 3)",1.0,0.6388061734542574,0.9513950501457455,0.48082655049868167,0.8566331537083467,0.953507052440397,0.7776281095953227
20,"(2, 4)",0.1,0.6024432481442931,0.933055002397744,0.44482667869764647,0.7662194308927351,0.933683494589038,0.6496917061433191
21,"(2, 5)",10.0,0.328170173051444,0.9362971164622861,0.19895104895104895,0.6915989476512787,0.937465597135603,0.5479020979020979
22,"(2, 6)",0.01,0.48315288478306395,0.9503455376078939,0.323915215219563,0.8912884662445467,0.9451251654283127,0.8432545715154411
23,"(2, 7)",0.1,0.2328330027880138,0.9402634047156754,0.13286713286713286,0.8977286525804175,0.9387528969281524,0.8601398601398602
24,"(2, 8)",100.0,0.6851185758361166,0.9389791921302368,0.539311383061383,0.876640855494456,0.9438379805524517,0.8183760683760684
25,"(2, 9)",10.0,0.564838500804445,0.9354500786308305,0.4045584045584045,0.8946564962283298,0.9382969278084496,0.8548951048951049
26,"(2, 10)",100.0,0.36939328664651727,0.9474319962799603,0.22942100272608748,0.7205436285517166,0.9544552345265332,0.578715775749674
27,"(3, 4)",1.0,0.7989066576867326,0.9110391972720637,0.711352018332452,0.9230245510227837,0.9223764720545611,0.9236735413361536
28,"(3, 5)",1.0,0.6621315293346226,0.9369033721427839,0.5119798234552333,0.7859260088762958,0.9158719734109021,0.6882723833543505
29,"(3, 6)",100.0,0.5789858607232471,0.9351494316320268,0.41929284186946336,0.9246495060652516,0.9336793081167056,0.9157926891355259
30,"(3, 7)",0.01,0.35774732402044374,0.9328188914606614,0.22131147540983606,0.9272246664414615,0.9282219654193727,0.9262295081967213
31,"(3, 8)",10.0,0.5726559561466188,0.9345844661699846,0.4127959927140255,0.8912957444174406,0.9253163378294743,0.8596880692167577
32,"(3, 9)",1.0,0.2762133678120173,0.9326271597571745,0.16211293260473586,0.9109588872324272,0.9204731000530914,0.9016393442622951
33,"(3, 10)",10.0,0.6443608500963965,0.9475733838045666,0.4881564323423173,0.8817918801680078,0.9389819181044052,0.8311683801055849
34,"(4, 5)",100.0,0.6727531230038826,0.9135301630047312,0.5324234904880066,0.9027050162625483,0.9085450107630396,0.8969396195202647
35,"(4, 6)",1.0,0.5611850279375755,0.913386752250696,0.4050123555733654,0.9408113347048916,0.91416208155608,0.9690609764242303
36,"(4, 7)",1.0,0.5213347859474524,0.9082550431038438,0.3655913978494624,0.7377687249166563,0.8996774166063006,0.625247311827957
37,"(4, 8)",100.0,0.7054514228219093,0.9112256705503986,0.5754928315412187,0.9395554716023852,0.9093065158857266,0.9718862007168458
38,"(4, 9)",10.0,0.7200857008307288,0.9125085610225544,0.5946833930704898,0.9470415211859026,0.9082897484908692,0.989247311827957
39,"(4, 10)",0.01,0.7027584716271145,0.9314098934028847,0.5642427556041553,0.9082386529550134,0.9185611109454064,0.8981456169127028
40,"(5, 6)",100.0,0.509404188604889,0.920178627356462,0.35218585762064025,0.9068035184251496,0.9187136066204091,0.8951982799808886
