,Missing,alpha,H,Acc_known,Acc_unknown,H_semi,Acc_known_semi,Acc_unknown_semi
0,"(0, 1)",0.1,0.604932038894177,0.9444140616173414,0.4449786324786325,0.5469248077071072,0.9213352581509986,0.3888888888888889
1,"(0, 2)",10.0,0.6649954835453494,0.9622109755174956,0.508061383061383,0.8368826256604376,0.9625507908720289,0.7402389277389277
2,"(0, 3)",100.0,0.6566212545952705,0.9544573464579962,0.5004553734061931,0.8655442449653841,0.9445640629490162,0.7987249544626593
3,"(0, 4)",1.0,0.7928054610322327,0.9333132807643401,0.6890681003584229,0.9004666403680005,0.9299902706197511,0.8727598566308243
4,"(0, 5)",1.0,0.6191591760670695,0.9451890528472221,0.4603632478632479,0.8391959877094639,0.9340080098242076,0.7618589743589743
5,"(0, 6)",100.0,0.5970076507604524,0.9521370492031398,0.4348257418909593,0.9065931637228472,0.9371384875217496,0.8779761904761905
6,"(0, 7)",100.0,0.5222704677070585,0.9432158740068117,0.3611111111111111,0.7517547880350193,0.9301480987108008,0.6307777777777778
7,"(0, 8)",100.0,0.25272358867895767,0.9463947189959355,0.14583333333333334,0.8935882819473319,0.9410374051975035,0.8506944444444444
8,"(0, 9)",0.1,0.6094584972271476,0.937895365660316,0.4513888888888889,0.9103683852010407,0.9329116670008114,0.8888888888888888
9,"(0, 10)",1.0,0.7463143122107943,0.9442151859672764,0.6169962335216572,0.8794785592376676,0.9444672318280178,0.8228578154425612
10,"(1, 2)",0.1,0.45165133205937774,0.940301445590944,0.2972027972027972,0.5146329453154262,0.9358642815665935,0.3548951048951049
11,"(1, 3)",0.01,0.4318596645506471,0.9233306638353864,0.2818411097099622,0.5740286499233899,0.915759476780714,0.4180327868852459
12,"(1, 4)",0.1,0.64868209646375,0.9121412493491755,0.5033085194375517,0.6158713322106856,0.9013064695694647,0.46774193548387094
13,"(1, 5)",1.0,0.3786145362051725,0.918384141683675,0.23846153846153847,0.5081175776042867,0.9008928658332843,0.3538461538461538
14,"(1, 6)",1.0,0.5610646800825313,0.9249706693088411,0.402651696129957,0.6251082364898911,0.9104947262766555,0.47593167701863354
15,"(1, 7)",100.0,0.20510326853492122,0.9220679722809538,0.11538461538461539,0.2626981710005,0.8982304407277302,0.15384615384615385
16,"(1, 8)",10.0,0.6769971943223045,0.9200560355551156,0.5355235042735043,0.9128864801848596,0.9166151385727933,0.9091880341880342
17,"(1, 9)",0.1,0.3474219541689521,0.9155524083485389,0.2143874643874644,0.6369659382579076,0.9073179498448751,0.49074074074074076
18,"(1, 10)",1.0,0.5539329669606085,0.9366343377636076,0.39325293350717083,0.576622249187276,0.9118962720200441,0.4216101694915254
19,"(2, 3)",10.0,0.6819108676083689,0.9481386157452432,0.5324143070044709,0.8530778848115071,0.949135978292241,0.7746761435286026
20,"(2, 4)",0.01,0.6496071192601702,0.9336990218895076,0.49806376419279647,0.7675062743344389,0.9338977796534829,0.6514399578915708
21,"(2, 5)",1.0,0.3530649018903269,0.9311067818532938,0.21783216783216783,0.531074006149263,0.9148659749964736,0.37412587412587417
22,"(2, 6)",0.1,0.4602087907705346,0.9493208091250828,0.30372345046258087,0.8875916845935238,0.9456352093705599,0.836261564522434
23,"(2, 7)",100.0,0.25128113461154644,0.936639658352148,0.1451048951048951,0.8915982461524027,0.9391333738254555,0.8486433566433567
24,"(2, 8)",0.1,0.6906870918722376,0.938803258165149,0.54630439005439,0.8804237942822397,0.9456422640442814,0.8236208236208236
25,"(2, 9)",1.0,0.5374509947417112,0.9332439796424702,0.3773957523957524,0.8938585609474189,0.9407758379530081,0.8513986013986015
26,"(2, 10)",100.0,0.3487566188652965,0.9499940153216428,0.21358302714234917,0.7140085383208072,0.9547058399372604,0.5702411994784876
27,"(3, 4)",10.0,0.792470622458197,0.9168976637053277,0.6977789529349551,0.9148277785866442,0.9141796567925282,0.9154768200246783
28,"(3, 5)",0.1,0.6202817484952544,0.9360858142446562,0.4638083228247163,0.798096776078484,0.9226834365701093,0.7031525851197982
29,"(3, 6)",1.0,0.5849121106232211,0.9315814104086384,0.4262804195092149,0.9185894013836987,0.9290388868096175,0.9083723653395784
30,"(3, 7)",0.1,0.34691929632904905,0.9322080825165191,0.21311475409836064,0.9131099353030564,0.924876143232971,0.9016393442622951
