,label,value
0,schwann,0
1,delta,1
2,endothelial,2
3,quiescent_stellate,3
4,ductal,4
5,alpha,5
6,beta,6
7,macrophage,7
8,activated_stellate,8
9,t_cell,9
10,gamma,10
